GENESIS-Tabelle: 41261-0012
Schadholzeinschlag: Bundesländer, Jahre, Einschlagsursache,;;;;;;;;;;;;;;;;;;;
Holzartengruppen, Waldeigentumsarten;;;;;;;;;;;;;;;;;;;
Holzeinschlagsstatistik (forstl. Erzeugerbetriebe);;;;;;;;;;;;;;;;;;;
Schadholzeinschlag (1000 cbm);;;;;;;;;;;;;;;;;;;
;;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
Year;Cause;Tree_type;Owner;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
2009;Sonstiges;Kiefer und Lärche;Privatwald;0,6;-;-;3,4;-;-;-;-;8,8;2,6;-;-;-;1,8;0,1;0,0
2009;Sonstiges;Kiefer und Lärche;Insgesamt;16,3;6,0;-;9,2;-;-;35,3;0,7;13,8;3,5;1,0;-;0,7;3,2;0,9;0,7
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);9,1;25,1;-;1,5;-;0,1;12,6;0,1;2,7;4,4;2,4;0,3;0,7;1,0;0,4;4,8
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;19,3;-;-;0,4;-;-;15,4;-;2,1;2,0;6,5;0,0;0,1;0,2;0,5;3,3
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Privatwald;11,2;-;-;1,0;-;-;-;-;10,0;32,3;0,8;-;-;0,5;0,1;6,0
2009;Sonstiges;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Insgesamt;39,5;25,1;-;2,9;-;0,1;28,0;0,1;14,9;38,7;9,7;0,3;0,7;1,7;0,9;14,2
2009;Sonstiges;Insgesamt;Staatswald (Bundes- und Landeswald);29,0;42,0;-;14,8;-;0,1;54,9;1,9;13,6;5,9;5,9;0,6;1,9;7,9;1,9;8,5
2009;Sonstiges;Insgesamt;Körperschaftswald;57,1;-;-;2,1;-;-;60,4;-;2,7;4,6;10,4;0,0;0,5;1,7;3,8;6,6
2009;Sonstiges;Insgesamt;Privatwald;13,8;-;-;7,8;-;-;-;-;26,1;57,8;0,8;-;-;4,4;4,0;8,3
2009;Sonstiges;Insgesamt;Insgesamt;99,9;42,0;-;24,6;-;0,1;115,3;1,9;42,5;68,2;17,0;0,7;2,4;14,2;9,7;23,4
2009;Insgesamt;Eiche und Roteiche;Staatswald (Bundes- und Landeswald);3,6;1,9;-;8,0;-;0,0;30,3;1,2;1,6;2,6;1,3;0,2;0,5;9,5;0,1;0,2
2009;Insgesamt;Eiche und Roteiche;Körperschaftswald;10,6;1,5;-;0,8;-;-;41,4;-;0,1;2,4;4,8;0,1;0,0;1,3;0,6;0,1
2009;Insgesamt;Eiche und Roteiche;Privatwald;1,1;50,1;-;3,0;-;-;-;-;8,1;11,4;0,3;-;-;2,0;0,1;0,2
2009;Insgesamt;Eiche und Roteiche;Insgesamt;15,3;53,5;-;11,8;-;0,0;71,7;1,2;9,8;16,3;6,3;0,3;0,5;12,8;0,7;0,6
2009;Insgesamt;Buche und sonstiges Laubholz;Staatswald (Bundes- und Landeswald);38,3;29,0;-;2,6;-;0,0;13,6;0,4;7,9;19,0;4,2;0,5;2,2;3,4;1,4;5,2
2009;Insgesamt;Buche und sonstiges Laubholz;Körperschaftswald;74,6;14,3;-;0,9;-;-;10,0;-;0,4;6,5;9,5;0,1;0,2;0,0;2,1;3,7
2009;Insgesamt;Buche und sonstiges Laubholz;Privatwald;14,2;110,1;-;1,7;-;-;-;-;11,1;43,2;0,6;-;-;0,7;3,9;3,4
2009;Insgesamt;Buche und sonstiges Laubholz;Insgesamt;127,1;153,3;-;5,2;-;0,0;23,6;0,4;19,5;68,7;14,3;0,6;2,5;4,2;7,4;12,3
2009;Insgesamt;Kiefer und Lärche;Staatswald (Bundes- und Landeswald);13,7;25,5;0,2;15,0;-;-;37,4;0,8;7,0;7,5;9,2;0,1;3,7;7,7;0,2;2,3
2009;Insgesamt;Kiefer und Lärche;Körperschaftswald;18,8;7,7;-;1,7;-;-;30,6;-;0,8;16,6;1,5;0,0;0,5;0,3;0,6;0,7
2009;Insgesamt;Kiefer und Lärche;Privatwald;3,3;196,6;-;9,8;-;-;-;-;31,0;44,6;0,1;-;0,0;6,1;0,1;1,5
2009;Insgesamt;Kiefer und Lärche;Insgesamt;35,8;229,9;0,2;26,4;-;-;68,0;0,8;38,8;68,7;10,8;0,1;4,3;14,1;1,0;4,5
2009;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Staatswald (Bundes- und Landeswald);217,8;736,8;-;4,5;-;0,1;464,0;0,4;36,5;282,8;41,5;4,8;85,4;41,7;1,5;96,1
2009;Insgesamt;Fichte, Tanne, Douglasie und sonstiges Nadelholz;Körperschaftswald;386,8;159,7;-;1,2;-;-;490,3;-;10,5;188,5;123,7;2,7;6,1;2,2;3,1;35,9
